Depto;Departamento;Fam;Familia;anioretail;mesretail;ventasnetas;costos;Utilidad;% Margen
4;Mesa;614;MANTELERÍA;2013;1;288788;-118145;170642;0.59
4;Mesa;614;MANTELERÍA;2013;8;404394;-177988;226406;0.56
4;Mesa;614;MANTELERÍA;2013;11;514637;-219856;294781;0.57
4;Mesa;668;ARTÍCULOS DE BAR;2013;2;8371;-3728;4643;0.55
4;Mesa;668;ARTÍCULOS DE BAR;2013;5;8047;-3672;4375;0.54
4;Mesa;668;ARTÍCULOS DE BAR;2013;12;77741;-37266;40475;0.52
4;Mesa;789;TEXTIL COCINA;2013;3;35859;-15642;20218;0.56
4;Mesa;789;TEXTIL COCINA;2013;10;28347;-13200;15146;0.53
5;Cocina;287;Refractarios;2013;8;643;-182;461;0.72
5;Cocina;287;Refractarios;2013;11;807;-233;574;0.71
5;Cocina;650;UTENSILIOS PARA REPOSTERÍA;2013;3;108809;-50096;58713;0.54
5;Cocina;650;UTENSILIOS PARA REPOSTERÍA;2013;6;94966;-48589;46378;0.49
5;Cocina;651;COMESTIBLES PARA DECORAR;2013;2;312;-147;166;0.53
5;Cocina;651;COMESTIBLES PARA DECORAR;2013;5;125;-62;63;0.5
5;Cocina;651;COMESTIBLES PARA DECORAR;2013;12;312;-148;164;0.52
5;Cocina;779;UTENSILIOS PARA HORNEAR;2013;2;351578;-163006;188572;0.54
5;Cocina;779;UTENSILIOS PARA HORNEAR;2013;5;556328;-310134;246194;0.44
5;Cocina;779;UTENSILIOS PARA HORNEAR;2013;9;430489;-220279;210210;0.49
5;Cocina;779;UTENSILIOS PARA HORNEAR;2013;12;1202353;-616626;585727;0.49
5;Cocina;780;UTENSILIOS PARA PREPARAR ALIMENTOS;2013;2;399031;-182215;216816;0.54
5;Cocina;780;UTENSILIOS PARA PREPARAR ALIMENTOS;2013;5;293672;-140996;152676;0.52
5;Cocina;780;UTENSILIOS PARA PREPARAR ALIMENTOS;2013;12;746586;-365295;381291;0.51
5;Cocina;781;UTENSILIOS PARA COCINAR;2013;1;1194035;-550534;643501;0.54
5;Cocina;781;UTENSILIOS PARA COCINAR;2013;4;1595987;-834314;761674;0.48
5;Cocina;781;UTENSILIOS PARA COCINAR;2013;11;4362341;-2515157;1847183;0.42
5;Cocina;782;ALMACENAMIENTO / DESPENSA;2013;2;318937;-160149;158788;0.5
5;Cocina;782;ALMACENAMIENTO / DESPENSA;2013;5;306826;-178257;128569;0.42
5;Cocina;782;ALMACENAMIENTO / DESPENSA;2013;8;200136;-99848;100288;0.5
4;Mesa;612;PARA SERVIR;2013;5;127297;-65032;62265;0.49
4;Mesa;612;PARA SERVIR;2013;12;584594;-278541;306053;0.52
4;Mesa;613;COMPLEMENTOS DE MESA;2013;6;47389;-22837;24552;0.52
4;Mesa;613;COMPLEMENTOS DE MESA;2013;9;68222;-35190;33032;0.48
4;Mesa;613;COMPLEMENTOS DE MESA;2013;12;80381;-38235;42147;0.52
4;Mesa;614;MANTELERÍA;2013;4;357326;-174292;183034;0.51
4;Mesa;614;MANTELERÍA;2013;7;461982;-197101;264881;0.57
4;Mesa;614;MANTELERÍA;2013;10;317478;-139820;177658;0.56
4;Mesa;668;ARTÍCULOS DE BAR;2013;1;7547;-4121;3426;0.45
4;Mesa;668;ARTÍCULOS DE BAR;2013;8;14158;-6448;7710;0.54
4;Mesa;668;ARTÍCULOS DE BAR;2013;11;18781;-8018;10763;0.57
4;Mesa;789;TEXTIL COCINA;2013;6;19106;-8404;10702;0.56
4;Mesa;789;TEXTIL COCINA;2013;9;32078;-16944;15134;0.47
4;Mesa;789;TEXTIL COCINA;2013;12;75587;-40633;34954;0.46
